NumThreads,Dimensao,TempoTotal,TempoInit,TempoMult,TempoFim
1, 250, 0.011013, 0.000334, 0.010299, 0.000380
1, 250, 0.010575, 0.000414, 0.009611, 0.000550
1, 250, 0.010777, 0.000414, 0.009913, 0.000450
1, 250, 0.010196, 0.000329, 0.009419, 0.000448
1, 250, 0.010343, 0.000350, 0.009536, 0.000457
2, 250, 0.005984, 0.000392, 0.005142, 0.000450
2, 250, 0.006140, 0.000391, 0.005291, 0.000458
2, 250, 0.005768, 0.000328, 0.005010, 0.000430
2, 250, 0.006508, 0.000383, 0.005618, 0.000507
2, 250, 0.005898, 0.000423, 0.005019, 0.000456
4, 250, 0.003969, 0.000367, 0.003130, 0.000472
4, 250, 0.004176, 0.000386, 0.003022, 0.000768
4, 250, 0.004346, 0.000400, 0.003338, 0.000608
4, 250, 0.004284, 0.000448, 0.003401, 0.000435
4, 250, 0.004049, 0.000442, 0.002907, 0.000700
8, 250, 0.003674, 0.000412, 0.002534, 0.000728
8, 250, 0.002874, 0.000381, 0.002132, 0.000361
8, 250, 0.002490, 0.000321, 0.001816, 0.000353
8, 250, 0.002549, 0.000319, 0.001883, 0.000347
8, 250, 0.002720, 0.000326, 0.002011, 0.000383
12, 250, 0.002966, 0.000332, 0.002250, 0.000384
12, 250, 0.003253, 0.000331, 0.002511, 0.000411
12, 250, 0.003437, 0.000351, 0.002584, 0.000502
12, 250, 0.003094, 0.000359, 0.002325, 0.000410
12, 250, 0.003042, 0.000356, 0.002307, 0.000379
16, 250, 0.002670, 0.000332, 0.001936, 0.000402
16, 250, 0.002864, 0.000359, 0.002098, 0.000407
16, 250, 0.002603, 0.000350, 0.001836, 0.000417
16, 250, 0.003014, 0.000331, 0.002251, 0.000432
16, 250, 0.002840, 0.000342, 0.002097, 0.000401
1, 500, 0.083566, 0.001425, 0.080540, 0.001601
1, 500, 0.084269, 0.001543, 0.081170, 0.001556
1, 500, 0.082980, 0.001470, 0.080089, 0.001421
1, 500, 0.081244, 0.001402, 0.078503, 0.001339
1, 500, 0.081335, 0.001419, 0.078535, 0.001381
2, 500, 0.042414, 0.001361, 0.039612, 0.001441
2, 500, 0.043348, 0.001926, 0.039942, 0.001480
2, 500, 0.043192, 0.001645, 0.040099, 0.001448
2, 500, 0.042835, 0.001505, 0.039861, 0.001469
2, 500, 0.042536, 0.001377, 0.039748, 0.001411
4, 500, 0.023936, 0.001464, 0.021016, 0.001456
4, 500, 0.023404, 0.001373, 0.020741, 0.001290
4, 500, 0.023167, 0.001438, 0.020340, 0.001389
4, 500, 0.023274, 0.001479, 0.020402, 0.001393
4, 500, 0.023216, 0.001411, 0.020420, 0.001385
8, 500, 0.014223, 0.001450, 0.011512, 0.001261
8, 500, 0.015485, 0.001380, 0.012694, 0.001411
8, 500, 0.014057, 0.001428, 0.011147, 0.001482
8, 500, 0.013739, 0.001431, 0.011048, 0.001260
8, 500, 0.013308, 0.001454, 0.010640, 0.001214
12, 500, 0.016018, 0.001350, 0.013147, 0.001521
12, 500, 0.015358, 0.001424, 0.012639, 0.001295
12, 500, 0.015225, 0.001457, 0.012327, 0.001441
12, 500, 0.014473, 0.001304, 0.011710, 0.001459
12, 500, 0.014133, 0.001481, 0.011104, 0.001548
16, 500, 0.013326, 0.001469, 0.010248, 0.001609
16, 500, 0.012511, 0.001538, 0.009572, 0.001401
16, 500, 0.012165, 0.001472, 0.009327, 0.001366
16, 500, 0.012593, 0.001377, 0.009754, 0.001462
16, 500, 0.011745, 0.001467, 0.008868, 0.001410
1, 1000, 0.903286, 0.005237, 0.892285, 0.005764
1, 1000, 0.681677, 0.006817, 0.669751, 0.005109
1, 1000, 0.649148, 0.004824, 0.639312, 0.005012
1, 1000, 0.645699, 0.004614, 0.636086, 0.004999
1, 1000, 0.648034, 0.004625, 0.638476, 0.004933
2, 1000, 0.328980, 0.004966, 0.319067, 0.004947
2, 1000, 0.329248, 0.004541, 0.319671, 0.005036
2, 1000, 0.329651, 0.004919, 0.319800, 0.004932
2, 1000, 0.329098, 0.004728, 0.319473, 0.004897
2, 1000, 0.329951, 0.005041, 0.319759, 0.005151
4, 1000, 0.171297, 0.004655, 0.161557, 0.005085
4, 1000, 0.171011, 0.004559, 0.161614, 0.004838
4, 1000, 0.170906, 0.004490, 0.161442, 0.004974
4, 1000, 0.171167, 0.004586, 0.161650, 0.004931
4, 1000, 0.171061, 0.004701, 0.161373, 0.004987
8, 1000, 0.094383, 0.004994, 0.084362, 0.005027
8, 1000, 0.093386, 0.004585, 0.083916, 0.004885
8, 1000, 0.090927, 0.004646, 0.081352, 0.004929
8, 1000, 0.093593, 0.004865, 0.083902, 0.004826
8, 1000, 0.099473, 0.004507, 0.089960, 0.005006
12, 1000, 0.098198, 0.005020, 0.087966, 0.005212
12, 1000, 0.081347, 0.004701, 0.070744, 0.005902
12, 1000, 0.081427, 0.004805, 0.071071, 0.005551
12, 1000, 0.077576, 0.005246, 0.066709, 0.005621
12, 1000, 0.081683, 0.005335, 0.070810, 0.005538
16, 1000, 0.067870, 0.004952, 0.057191, 0.005727
16, 1000, 0.073473, 0.005234, 0.062393, 0.005846
16, 1000, 0.070900, 0.005363, 0.059536, 0.006001
16, 1000, 0.075219, 0.005974, 0.063219, 0.006026
16, 1000, 0.067300, 0.005313, 0.056280, 0.005707
1, 2000, 5.276994, 0.018335, 5.218240, 0.040419
1, 2000, 5.216769, 0.018425, 5.157541, 0.040803
1, 2000, 5.212635, 0.017219, 5.154406, 0.041010
1, 2000, 5.213889, 0.017315, 5.156084, 0.040490
1, 2000, 5.208097, 0.016647, 5.150904, 0.040546
2, 2000, 2.643792, 0.016577, 2.585830, 0.041385
2, 2000, 2.641850, 0.016109, 2.584244, 0.041497
2, 2000, 2.643873, 0.016577, 2.586935, 0.040361
2, 2000, 2.641807, 0.017807, 2.583634, 0.040366
2, 2000, 2.642332, 0.017034, 2.583557, 0.041741
4, 2000, 1.358787, 0.017684, 1.300502, 0.040601
4, 2000, 1.361533, 0.016368, 1.296893, 0.048272
4, 2000, 1.360551, 0.016956, 1.302934, 0.040661
4, 2000, 1.355796, 0.016863, 1.298697, 0.040236
4, 2000, 1.360480, 0.016052, 1.302873, 0.041555
8, 2000, 0.740755, 0.016767, 0.681640, 0.042348
8, 2000, 0.722379, 0.016003, 0.665462, 0.040914
8, 2000, 0.721591, 0.016580, 0.663345, 0.041666
8, 2000, 0.723860, 0.016481, 0.665808, 0.041571
8, 2000, 0.722941, 0.016024, 0.664554, 0.042363
12, 2000, 0.642203, 0.015870, 0.582814, 0.043519
12, 2000, 0.585517, 0.016924, 0.525009, 0.043584
12, 2000, 0.590828, 0.019143, 0.528008, 0.043677
12, 2000, 0.644735, 0.018958, 0.536939, 0.088838
12, 2000, 0.643292, 0.020053, 0.580949, 0.042290
16, 2000, 0.535241, 0.017029, 0.475324, 0.042888
16, 2000, 0.484871, 0.019620, 0.421936, 0.043315
16, 2000, 0.523606, 0.019358, 0.460865, 0.043383
16, 2000, 0.537639, 0.020499, 0.473729, 0.043411
16, 2000, 0.513453, 0.019688, 0.450665, 0.043100
